title,contentId,artistName,completitionYear,image,artistUrl,genre,material,style,technique,for_model,image_path,image_size,image_width,image_height,image_new_size,image_new_width,image_new_height,image_new_path
Constanta,304924,Darascu Nicolae,,https://uploads5.wikiart.org/images/nicolae-darascu/constanta.jpg!Large.jpg,nicolae-darascu,marina,,Post-Impressionism,,1.0,wikiart-master/wiki_art_saved/images/nicolae-darascu/unknown-year/304924.jpg,"(640, 414)",640,414,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/nicolae-darascu_unknown-year_304924.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/nicolae-darascu_unknown-year_304924.jpg
Limanora,290921,Stella Frank,1994.0,https://uploads6.wikiart.org/images/frank-stella/limanora-1994.jpg!Large.jpg,frank-stella,abstract,,Abstract Expressionism,,1.0,wikiart-master/wiki_art_saved/images/frank-stella/1994/290921.jpg,"(459, 570)",459,570,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/frank-stella_1994_290921.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/frank-stella_1994_290921.jpg
Nymph by the  fountain,260625,Böcklin Arnold,,https://uploads7.wikiart.org/images/arnold-b-cklin/nymph-by-the-fountain.jpg!Large.jpg,arnold-bocklin,mythological painting,,Symbolism,,1.0,wikiart-master/wiki_art_saved/images/arnold-bocklin/unknown-year/260625.jpg,"(666, 800)",666,800,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/arnold-bocklin_unknown-year_260625.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/arnold-bocklin_unknown-year_260625.jpg
The River Meuse at Dordrecht,186994,Daubigny Charles-Francois ,1872.0,https://uploads3.wikiart.org/images/charles-francois-daubigny/the-river-meuse-at-dordrecht-1872.jpg!Large.jpg,charles-francois-daubigny,landscape,,Realism,,1.0,wikiart-master/wiki_art_saved/images/charles-francois-daubigny/1872/186994.jpg,"(931, 524)",931,524,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/charles-francois-daubigny_1872_186994.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/charles-francois-daubigny_1872_186994.jpg
A Sheep at Rest,9223372032559885354,Bonheur Rosa,,https://uploads7.wikiart.org/00381/images/rosa-bonheur/a-sheep-at-rest-rosa-bonheur.jpg!Large.jpg,rosa-bonheur,animal painting,,Realism,,1.0,wikiart-master/wiki_art_saved/images/rosa-bonheur/unknown-year/9223372032559885354.jpg,"(900, 719)",900,719,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/rosa-bonheur_unknown-year_9223372032559885354.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/rosa-bonheur_unknown-year_9223372032559885354.jpg
"Peinture 243 x 181 cm, 26 juin 1999",283737,Soulages Pierre,1999.0,https://uploads8.wikiart.org/images/pierre-soulages/peinture-243-x-181-cm-26-juin-1999-1999.jpg!Large.jpg,pierre-soulages,abstract,,Minimalism,,1.0,wikiart-master/wiki_art_saved/images/pierre-soulages/1999/283737.jpg,"(900, 1219)",900,1219,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/pierre-soulages_1999_283737.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/pierre-soulages_1999_283737.jpg
"Rome, Metro Exit",9223372032559833051,Smart Jeffrey,1984.0,https://uploads1.wikiart.org/00207/images/jeffrey-smart/rome-metro-exit-1984.jpg!Large.jpg,jeffrey-smart,cityscape,,Contemporary Realism,,1.0,wikiart-master/wiki_art_saved/images/jeffrey-smart/1984/9223372032559833051.jpg,"(726, 1000)",726,1000,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/jeffrey-smart_1984_9223372032559833051.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/jeffrey-smart_1984_9223372032559833051.jpg
Heracles kills the centaur Nessus to save Deianira,273035,Stuck Franz,1899.0,https://uploads2.wikiart.org/images/franz-stuck/heracles-kills-the-centaur-nessus-to-save-deianira-1899.jpg!Large.jpg,franz-stuck,mythological painting,,Symbolism,,1.0,wikiart-master/wiki_art_saved/images/franz-stuck/1899/273035.jpg,"(591, 447)",591,447,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/franz-stuck_1899_273035.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/franz-stuck_1899_273035.jpg
The Painter Vincenzo Cabianca,267915,Boldini Giovanni,1909.0,https://uploads4.wikiart.org/images/giovanni-boldini/the-painter-vincenzo-cabianca-1909.jpg!Large.jpg,giovanni-boldini,portrait,,Realism,,1.0,wikiart-master/wiki_art_saved/images/giovanni-boldini/1909/267915.jpg,"(587, 800)",587,800,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/giovanni-boldini_1909_267915.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/giovanni-boldini_1909_267915.jpg
Festive entry into a German city,9223372032559859759,Adam Albrecht,,https://uploads8.wikiart.org/00314/images/albrecht-adam/albrecht-adam-umkreis-festlicher-einzug-in-eine-deutsche-stadt.jpg!Large.jpg,albrecht-adam,landscape,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/albrecht-adam/unknown-year/9223372032559859759.jpg,"(3777, 2463)",3777,2463,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/albrecht-adam_unknown-year_9223372032559859759.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/albrecht-adam_unknown-year_9223372032559859759.jpg
Mr. and Mrs. Moby Dick,307105,D'Arcangelo Allan,,https://uploads0.wikiart.org/images/allan-d-arcangelo/mr-and-mrs-moby-dick.jpg!Large.jpg,allan-d-arcangelo,figurative,,Pop Art,,1.0,wikiart-master/wiki_art_saved/images/allan-d-arcangelo/unknown-year/307105.jpg,"(753, 530)",753,530,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/allan-d-arcangelo_unknown-year_307105.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/allan-d-arcangelo_unknown-year_307105.jpg
A Cathedral On A Townsquare In Summer,273901,Springer Cornelis,1846.0,https://uploads4.wikiart.org/images/cornelis-springer/a-cathedral-on-a-townsquare-in-summer-1846.jpg!Large.jpg,cornelis-springer,cityscape,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/cornelis-springer/1846/273901.jpg,"(1000, 772)",1000,772,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/cornelis-springer_1846_273901.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/cornelis-springer_1846_273901.jpg
Flying Kites,9223372032559884073,Spitzweg Carl,,https://uploads6.wikiart.org/00380/images/carl-spitzweg/flying-kites-carl-spitzweg.jpg!Large.jpg,carl-spitzweg,genre painting,,"Romanticism, Biedermeier",,1.0,wikiart-master/wiki_art_saved/images/carl-spitzweg/unknown-year/9223372032559884073.jpg,"(277, 900)",277,900,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/carl-spitzweg_unknown-year_9223372032559884073.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/carl-spitzweg_unknown-year_9223372032559884073.jpg
Lower East Side,342086,Spencer Robert ,1930.0,https://uploads6.wikiart.org/images/robert-spencer/lower-east-side-1930.jpg!Large.jpg,robert-spencer,genre painting,,Impressionism,,1.0,wikiart-master/wiki_art_saved/images/robert-spencer/1930/342086.jpg,"(1170, 985)",1170,985,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/robert-spencer_1930_342086.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/robert-spencer_1930_342086.jpg
Girls on a Dune,302780,Spilliaert Leon,,https://uploads2.wikiart.org/images/leon-spilliaert/girls-on-a-dune.jpg!Large.jpg,leon-spilliaert,genre painting,,"Expressionism, Symbolism",,1.0,wikiart-master/wiki_art_saved/images/leon-spilliaert/unknown-year/302780.jpg,"(427, 640)",427,640,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/leon-spilliaert_unknown-year_302780.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/leon-spilliaert_unknown-year_302780.jpg
The Carnival,280749,Solana Jose Gutierrez,1928.0,https://uploads5.wikiart.org/images/jose-gutierrez-solana/the-carnival.jpg!Large.jpg,jose-gutierrez-solana,genre painting,,Expressionism,,1.0,wikiart-master/wiki_art_saved/images/jose-gutierrez-solana/1928/280749.jpg,"(800, 624)",800,624,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/jose-gutierrez-solana_1928_280749.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/jose-gutierrez-solana_1928_280749.jpg
Rocky Landscape with Monk,9223372032559863963,Blechen Carl,1826.0,https://uploads1.wikiart.org/00323/images/carl-blechen/carl-blechen-felslandschaft-mit-m-nch.jpg!Large.jpg,carl-blechen,landscape,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/carl-blechen/1826/9223372032559863963.jpg,"(1999, 1431)",1999,1431,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/carl-blechen_1826_9223372032559863963.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/carl-blechen_1826_9223372032559863963.jpg
Portrait of a Woman,283173,Stewart Julius LeBlanc,1908.0,https://uploads3.wikiart.org/images/julius-leblanc-stewart/portrait-of-a-woman-1908(1).jpg!Large.jpg,julius-leblanc-stewart,portrait,,Realism,,1.0,wikiart-master/wiki_art_saved/images/julius-leblanc-stewart/1908/283173.jpg,"(722, 907)",722,907,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/julius-leblanc-stewart_1908_283173.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/julius-leblanc-stewart_1908_283173.jpg
Portrait of The Tragic Actress Fanny Janauschek,260639,Böcklin Arnold,1861.0,https://uploads4.wikiart.org/images/arnold-b-cklin/portrait-of-actress-fanny-janauscher.jpg!Large.jpg,arnold-bocklin,portrait,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/arnold-bocklin/1861/260639.jpg,"(403, 700)",403,700,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/arnold-bocklin_1861_260639.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/arnold-bocklin_1861_260639.jpg
Portrait of Gerolamo Casio,307591,Boltraffio Giovanni Antonio,1495.0,https://uploads3.wikiart.org/images/giovanni-antonio-boltraffio/portrait-of-gerolamo-casio-1495.jpg!Large.jpg,giovanni-antonio-boltraffio,portrait,,High Renaissance,,1.0,wikiart-master/wiki_art_saved/images/giovanni-antonio-boltraffio/1495/307591.jpg,"(702, 977)",702,977,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/giovanni-antonio-boltraffio_1495_307591.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/giovanni-antonio-boltraffio_1495_307591.jpg
Nude,360571,Stefanescu George,1997.0,https://uploads5.wikiart.org/images/george-stefanescu-ramnic/nude-1997.jpg!Large.jpg,george-stefanescu,nude painting (nu),,Abstract Expressionism,,1.0,wikiart-master/wiki_art_saved/images/george-stefanescu/1997/360571.jpg,"(1010, 800)",1010,800,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/george-stefanescu_1997_360571.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/george-stefanescu_1997_360571.jpg
Young Girl in Red Blouse,9223372032559811929,Soutine Chaim,1919.0,https://uploads6.wikiart.org/00117/images/chaim-soutine/young-girl-in-red-blouse.jpg!Large.jpg,chaim-soutine,portrait,,Expressionism,,1.0,wikiart-master/wiki_art_saved/images/chaim-soutine/1919/9223372032559811929.jpg,"(493, 600)",493,600,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/chaim-soutine_1919_9223372032559811929.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/chaim-soutine_1919_9223372032559811929.jpg
"Peinture 103 x 81 cm, 18 Mars 2004",283732,Soulages Pierre,2004.0,https://uploads7.wikiart.org/images/pierre-soulages/peinture-103-x-81-cm-18-mars-2004-2004.jpg!Large.jpg,pierre-soulages,abstract,,Minimalism,,1.0,wikiart-master/wiki_art_saved/images/pierre-soulages/2004/283732.jpg,"(460, 589)",460,589,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/pierre-soulages_2004_283732.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/pierre-soulages_2004_283732.jpg
Still Life with Coral Tree Flowers,308008,Stern Irma,1935.0,https://uploads3.wikiart.org/images/irma-stern/still-lfie-with-coral-tree-flowers-1935.jpg!Large.jpg,irma-stern,flower painting,,Post-Impressionism,,1.0,wikiart-master/wiki_art_saved/images/irma-stern/1935/308008.jpg,"(289, 413)",289,413,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/irma-stern_1935_308008.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/irma-stern_1935_308008.jpg
City Landscape 2,9223372032559832975,Smart Jeffrey,1970.0,https://uploads6.wikiart.org/00207/images/jeffrey-smart/city-landscape-2.jpg!Large.jpg,jeffrey-smart,"landscape, cityscape",,Hyper-Realism,,1.0,wikiart-master/wiki_art_saved/images/jeffrey-smart/1970/9223372032559832975.jpg,"(600, 1066)",600,1066,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/jeffrey-smart_1970_9223372032559832975.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/jeffrey-smart_1970_9223372032559832975.jpg
Mnemosyne as the golden muse of creativity and memory,9223372032559899607,￿,2014.0,https://uploads7.wikiart.org/00395/images/agnes-von-angelis/16-sign-lord-fontleroy-h-725-px-b-926-px.JPG!Large.JPG,agnes-von-angelis,"mythological painting, figurative",,"Art Nouveau (Modern), Neo-Romanticism",,1.0,wikiart-master/wiki_art_saved/images/agnes-von-angelis/2014/9223372032559899607.jpg,"(926, 725)",926,725,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/agnes-von-angelis_2014_9223372032559899607.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/agnes-von-angelis_2014_9223372032559899607.jpg
St. Prince Vladimir,203764,Bilibin Ivan,1926.0,https://uploads0.wikiart.org/images/ivan-bilibin/st-prince-vladimir-1926-2.jpg!Large.jpg,ivan-bilibin,history painting,,Art Nouveau (Modern),,1.0,wikiart-master/wiki_art_saved/images/ivan-bilibin/1926/203764.jpg,"(512, 797)",512,797,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/ivan-bilibin_1926_203764.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/ivan-bilibin_1926_203764.jpg
Once Upon a Time There Was a Black That Did Not Want to Be Black but Red,9223372032559871085,Stilinović Mladen,1973.0,https://uploads2.wikiart.org/00335/images/mladen-stilinovic/once-upon-a-time-there-was-a-black-that-did-not-want-to-be-black-but-red-1973.jpg!Large.jpg,mladen-stilinovic,figurative,,Conceptual Art,,1.0,wikiart-master/wiki_art_saved/images/mladen-stilinovic/1973/9223372032559871085.jpg,"(945, 699)",945,699,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/mladen-stilinovic_1973_9223372032559871085.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/mladen-stilinovic_1973_9223372032559871085.jpg
in the Temple of Venus,9223372032559820052,Solomon Simeon,,https://uploads6.wikiart.org/00129/images/simeon-solomon/in-the-temple-of-venus-by-simeon-solomon-1863-watercolor-1.jpg!Large.jpg,simeon-solomon,mythological painting,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/simeon-solomon/unknown-year/9223372032559820052.jpg,"(1084, 1950)",1084,1950,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/simeon-solomon_unknown-year_9223372032559820052.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/simeon-solomon_unknown-year_9223372032559820052.jpg
The Courtship,9223372032559874742,￿,,https://uploads7.wikiart.org/00340/images/bonnie-marris/the-courtship.jpg!Large.jpg,bonnie-marris,animal painting,,,,1.0,wikiart-master/wiki_art_saved/images/bonnie-marris/unknown-year/9223372032559874742.jpg,"(694, 700)",694,700,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/bonnie-marris_unknown-year_9223372032559874742.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/bonnie-marris_unknown-year_9223372032559874742.jpg
Liveliest,251751,Steen Jan,1660.0,https://uploads4.wikiart.org/images/jan-steen/liveliest-1660.jpg!Large.jpg,jan-steen,genre painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/images/jan-steen/1660/251751.jpg,"(800, 600)",800,600,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/jan-steen_1660_251751.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/jan-steen_1660_251751.jpg
Maximilian I (1459-1519),274459,Strigel Bernhard,1500.0,https://uploads1.wikiart.org/images/bernhard-strigel/maximilian-i-1459-1519.jpg!Large.jpg,bernhard-strigel,portrait,,Northern Renaissance,,1.0,wikiart-master/wiki_art_saved/images/bernhard-strigel/1500/274459.jpg,"(316, 478)",316,478,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/bernhard-strigel_1500_274459.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/bernhard-strigel_1500_274459.jpg
Ducks,333567,Suh Se-Ok,,https://uploads4.wikiart.org/images/se-ok-suh/ducks.jpg!Large.jpg,se-ok-suh,figurative,,Art Informel,,1.0,wikiart-master/wiki_art_saved/images/se-ok-suh/unknown-year/333567.jpg,"(300, 290)",300,290,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/se-ok-suh_unknown-year_333567.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/se-ok-suh_unknown-year_333567.jpg
When the rooster crows and the sun rises - young Soudanese woman while doing her morning toilette,9223372032559865825,Adingra George Ebrin,1993.0,https://uploads5.wikiart.org/00327/images/george-ebrin-adingra/screenshot-2021-02-09-at-18-37-02.png!Large.png,george-ebrin-adingra,figurative,,,,1.0,wikiart-master/wiki_art_saved/images/george-ebrin-adingra/1993/9223372032559865825.jpg,"(534, 535)",534,535,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/george-ebrin-adingra_1993_9223372032559865825.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/george-ebrin-adingra_1993_9223372032559865825.jpg
Collage 48,9223372032559901437,￿,2022.0,https://uploads0.wikiart.org/00401/images/agnes-von-angelis-0/48-sign-lord-fontleroy-h-800-px-b-536-px.JPG!Large.JPG,agnes-von-angelis-0,"religious painting, mythological painting",,"Art Nouveau (Modern), Symbolism",,1.0,wikiart-master/wiki_art_saved/images/agnes-von-angelis-0/2022/9223372032559901437.jpg,"(536, 800)",536,800,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/agnes-von-angelis-0_2022_9223372032559901437.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/agnes-von-angelis-0_2022_9223372032559901437.jpg
Youth reading,314229,Abbasi Reza,1626.0,https://uploads1.wikiart.org/images/reza-abbasi/youth-reading-1626.jpg!Large.jpg,reza-abbasi,miniature,,Safavid Period,,1.0,wikiart-master/wiki_art_saved/images/reza-abbasi/1626/314229.jpg,"(824, 1343)",824,1343,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/reza-abbasi_1626_314229.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/reza-abbasi_1626_314229.jpg
Elisha Refusing Gifts from Naaman,9223372032559829615,Bol Ferdinand,1661.0,https://uploads0.wikiart.org/00185/images/ferdinand-bol/sa-7294-elisa-weigert-de-geschenken-van-na-man-de-profeet-elisa-weigert-de-geschenken-van-de.jpg!Large.jpg,ferdinand-bol,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/images/ferdinand-bol/1661/9223372032559829615.jpg,"(1024, 617)",1024,617,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/ferdinand-bol_1661_9223372032559829615.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/ferdinand-bol_1661_9223372032559829615.jpg
The Autobiography of an Embryo,297791,Agar Eileen,1934.0,https://uploads0.wikiart.org/images/eileen-agar/the-autobiography-of-an-embryo-1934.jpg!Large.jpg,eileen-agar,symbolic painting,,Surrealism,,1.0,wikiart-master/wiki_art_saved/images/eileen-agar/1934/297791.jpg,"(1236, 574)",1236,574,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/eileen-agar_1934_297791.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/eileen-agar_1934_297791.jpg
Portrait of Edward Cotsford,9223372032559845075,Abbott Lemuel Francis,,https://uploads4.wikiart.org/00266/images/lemuel-francis-abbott/sir-edward-cotsford-of-clyst-st-george-abbott.jpg!Large.jpg,lemuel-francis-abbott,portrait,,Rococo,,1.0,wikiart-master/wiki_art_saved/images/lemuel-francis-abbott/unknown-year/9223372032559845075.jpg,"(361, 470)",361,470,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/lemuel-francis-abbott_unknown-year_9223372032559845075.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/lemuel-francis-abbott_unknown-year_9223372032559845075.jpg
Winter Landscape,9223372032559859508,Achenbach Andreas,1858.0,https://uploads7.wikiart.org/00313/images/andreas-achenbach/a-achenbach-winterlandschap-nk2911-cultural-heritage-agency-of-the-netherlands-art-collection.jpg!Large.jpg,andreas-achenbach,"marina, landscape",,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/andreas-achenbach/1858/9223372032559859508.jpg,"(1772, 1292)",1772,1292,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/andreas-achenbach_1858_9223372032559859508.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/andreas-achenbach_1858_9223372032559859508.jpg
A Girl in a Garden,363494,Stone Marcus ,1879.0,https://uploads7.wikiart.org/images/marcus-stone/a-girl-in-a-garden-1879.jpg!Large.jpg,marcus-stone,genre painting,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/marcus-stone/1879/363494.jpg,"(482, 944)",482,944,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/marcus-stone_1879_363494.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/marcus-stone_1879_363494.jpg
Giallo,320601,Bonalumi ,1966.0,https://uploads0.wikiart.org/images/agostino-bonalumi/giallo-1966.jpg!Large.jpg,agostino-bonalumi,abstract,,Spatialism,,1.0,wikiart-master/wiki_art_saved/images/agostino-bonalumi/1966/320601.jpg,"(529, 570)",529,570,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/agostino-bonalumi_1966_320601.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/agostino-bonalumi_1966_320601.jpg
Untitled,312758,Sturm Helmut,1992.0,https://uploads6.wikiart.org/images/helmut-sturm/untitled-1992.jpg!Large.jpg,helmut-sturm,abstract,,Art Informel,,1.0,wikiart-master/wiki_art_saved/images/helmut-sturm/1992/312758.jpg,"(419, 570)",419,570,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/helmut-sturm_1992_312758.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/helmut-sturm_1992_312758.jpg
Barnyard with Herd,326519,Smet Gustave de ,1936.0,https://uploads4.wikiart.org/images/gustave-de-smet/barnyard-with-herd-1936(1).jpg!Large.jpg,gustave-de-smet,animal painting,,Expressionism,,1.0,wikiart-master/wiki_art_saved/images/gustave-de-smet/1936/326519.jpg,"(570, 455)",570,455,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/gustave-de-smet_1936_326519.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/gustave-de-smet_1936_326519.jpg
Untitled (Cadmium Yellow Light),9223372032559817098,Judd Donald,1990.0,https://uploads8.wikiart.org/images/donald-judd/untitled-cadmium-yellow-light-1990.jpg!Large.jpg,donald-judd,abstract,,Minimalism,,1.0,wikiart-master/wiki_art_saved/images/donald-judd/1990/9223372032559817098.jpg,"(640, 246)",640,246,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/donald-judd_1990_9223372032559817098.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/donald-judd_1990_9223372032559817098.jpg
Venus and Adonis,9223372032559829660,Bol Ferdinand,1630.0,https://uploads0.wikiart.org/00185/images/ferdinand-bol/bol-venus-and-adonis.JPG!Large.JPG,ferdinand-bol,mythological painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/images/ferdinand-bol/1630/9223372032559829660.jpg,"(685, 900)",685,900,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/ferdinand-bol_1630_9223372032559829660.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/ferdinand-bol_1630_9223372032559829660.jpg
Cornfield,360642,David Cox,1814.0,https://uploads4.wikiart.org/images/david-cox/cornfield-1814.jpg!Large.jpg,david-cox,genre painting,,Romanticism,,1.0,wikiart-master/wiki_art_saved/images/david-cox/1814/360642.jpg,"(1350, 870)",1350,870,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/david-cox_1814_360642.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/david-cox_1814_360642.jpg
Man in profile,9223372032559878508,Bloch Carl,,https://uploads2.wikiart.org/00362/images/carl-bloch/carl-heinrich-bloch-a-man-in-profile.jpg!Large.jpg,carl-bloch,"portrait, sketch and study",,Realism,,1.0,wikiart-master/wiki_art_saved/images/carl-bloch/unknown-year/9223372032559878508.jpg,"(348, 470)",348,470,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/carl-bloch_unknown-year_9223372032559878508.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/carl-bloch_unknown-year_9223372032559878508.jpg
Dynamism of a Cyclist,260494,Boccioni Umberto,1913.0,https://uploads5.wikiart.org/images/umberto-boccioni/dynamism-of-a-cyclist-1913.jpg!Large.jpg,umberto-boccioni,figurative,,Futurism,,1.0,wikiart-master/wiki_art_saved/images/umberto-boccioni/1913/260494.jpg,"(1700, 1239)",1700,1239,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/umberto-boccioni_1913_260494.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/umberto-boccioni_1913_260494.jpg
The Death of Arturo Prat on the dem Deck of the Huáscar,9223372032559904455,Somerscales Thomas,1880.0,https://uploads7.wikiart.org/00421/images/thomas-somerscales/the-death-of-arturo-prat-on-the-dem-deck-of-the-hu-scar.jpg!Large.jpg,thomas-somerscales,history painting,,,,1.0,wikiart-master/wiki_art_saved/images/thomas-somerscales/1880/9223372032559904455.jpg,"(686, 1000)",686,1000,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/thomas-somerscales_1880_9223372032559904455.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/thomas-somerscales_1880_9223372032559904455.jpg
Archangel Michael - the powerful glorious protector,9223372032559902332,￿,2017.0,https://uploads2.wikiart.org/00406/images/agnes-von-angelis-ava/05-erzengel-michael-f-r-wikiart.jpg!Large.jpg,agnes-von-angelis-ava,"symbolic painting, religious painting",,"Art Nouveau (Modern), Symbolism",,1.0,wikiart-master/wiki_art_saved/images/agnes-von-angelis-ava/2017/9223372032559902332.jpg,"(640, 850)",640,850,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_5000/agnes-von-angelis-ava_2017_9223372032559902332.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_5000/agnes-von-angelis-ava_2017_9223372032559902332.jpg
